item_id,name,serial_number,mac_id,identifier_type,identifier,device_type,custom_device_type,price,supplier_name,location,notes
ITEM-EX-1001,OLT Chassis A,SN-OLT-1001,MAC-OLT-1001,,,OLT,,2799,Alpha Supply,Warehouse A,"OLT test row 1"
ITEM-EX-1002,OLT Chassis B,SN-OLT-1002,MAC-OLT-1002,,,OLT,,2899,Alpha Supply,Warehouse A,"OLT test row 2"
ITEM-EX-1003,Adapter 12V 2A,SN-ADP-1001,MAC-ADP-1001,,,Adapter,,299,PowerLink,Warehouse B,"Adapter test row 1"
ITEM-EX-1004,Adapter 12V 3A,SN-ADP-1002,MAC-ADP-1002,,,Adapter,,349,PowerLink,Warehouse B,"Adapter test row 2"
ITEM-EX-1005,Remote IR Pro,SN-RMT-1001,,NU ID,NU-RMT-1001,Remote,,1599,ControlTech,Warehouse C,"Remote with identifier"
ITEM-EX-1006,Remote IR Basic,SN-RMT-1002,,Asset Tag,AT-RMT-1002,Remote,,1299,ControlTech,Warehouse C,"Remote with asset tag"
ITEM-EX-1007,OTT Box Prime,SN-OTT-1001,,NU ID,NU-OTT-1001,OTT Box,,2199,VisionNet,Warehouse D,"OTT box with NU ID"
ITEM-EX-1008,SB HD Unit,SN-SB-1001,,NU ID,NU-SB-1001,SB,,1899,SkyVision,Warehouse D,"SB row"
ITEM-EX-1009,ONU FiberNode,SN-ONU-1001,,Serial Ref,ID-ONU-1001,ONU,,2499,FiberWorks,Warehouse E,"ONU with serial ref identifier"
ITEM-EX-1010,Router C6 Plus,SN-RTR-1001,,Asset Tag,AT-RTR-1001,Router,,3199,NetWave,Warehouse F,"Router with identifier"
ITEM-EX-1011,AP Dual Band,SN-AP-1001,,IMEI,IMEI-AP-1001,Access Point,,2799,AirGrid,Warehouse F,"AP with IMEI as identifier"
ITEM-EX-1012,Custom Media Converter,SN-CST-1001,,Other,CUSTOM-1001,Others,Media Converter,1999,CustomLabs,Warehouse G,"Others type with custom_device_type"
